Class|0.999|0.9|0.75|0.5
FreeColClient|5(3),3(9),2(14),1(5)|5(3),3(9),2(14),1(5)|5,3(11),2(16),1(5)|3(3),2(19),1(28)
FreeColObject|15,4,3(4),2(8),1(16)|15,4,3(4),2(8),1(16)|14,4,3(3),2(9),1(18)|2(7),1(49)
FreeColServer|8,6,5,4,3(7),2(14),1(3)|8,6,5,3(7),2(16),1(3)|6,3(8),2(19),1(7)|2(17),1(41)
ImageLibrary|7,5,3(6),2(9),1(22)|6,5,3(6),2(9),1(23)|6,5,3(5),2(10),1(24)|2(6),1(58)
Specification|13,6,5,4(5),3(10),2(21),1(16)|13,6,5,4(4),3(10),2(23),1(16)|13,6,5,4(3),3(10),2(22),1(22)|2(27),1(78)
CandidateURI|13,4(3),3(6),2(8),1(9)|13,4(3),3(6),2(8),1(9)|11,4(2),3(4),2(11),1(15)|2(11),1(46)
CrawlController|7(4),6(4),5(4),4(6),3(7),2(19),1(7)|7(3),6(2),5(4),4(7),3(9),2(23),1(8)|7,6(3),5,4,3(10),2(36),1(26)|5,4,3(2),2(14),1(119)
Heritrix|17,8,7(2),6,5(3),4(3),3(8),2(17),1(10)|17,8,7,5(3),4(5),3(9),2(18),1(10)|17,7,6,4(3),3(7),2(26),1(25)|16,3(3),2(11),1(93)
SettingsHandler|9,5(2),3(4),2(2),1(15)|9,5(2),3(4),2(2),1(15)|8,3(6),2(4),1(16)|3,2(7),1(33)
WorkQueue|6,5,4,3(7),2(7),1(9)|5,4(2),3(7),2(7),1(11)|4(2),3(6),2(10),1(13)|2(10),1(39)
BRuleEngine|6,5,4,3(3),2(2)|6,5,4,3(3),2(2)|6,5,4,3(2),2(3),1|2(5),1(18)
CommandLine|5(3),4(4),3,2(3),1(3)|5(3),4(4),3,2(3),1(3)|5(2),4(4),3(2),2(3),1(5)|2(4),1(35)
LPBRuleEngine|8,7,4,3(2),2(4),1|8,7,4,3(2),2(4),1|7,6,4,3(2),2(5),1|4,2(7),1(16)
LPInterpreter|6,5(2),4,3(2),2(4),1|6,5(2),4,3(2),2(4),1|5(2),4(2),3,2(6),1(2)|3,2(5),1(22)
N3JenaWriterCommon|5,4(4),3(6),2(5),1(20)|4(4),3(7),2(6),1(20)|4,3(6),2(12),1(23)|2(7),1(55)
Node|4(2),3(2),2(5),1(28)|4(2),3(2),2(5),1(28)|4,3(2),2(7),1(28)|2(9),1(34)
ParserBase|5(2),4(3),3,2(3),1(25)|5(2),4(3),3,2(3),1(25)|5,4(2),3(3),2(4),1(26)|2(8),1(40)
Rule|7,5,3(6),2(4),1(6)|7,5,3(6),2(4),1(6)|4(2),3(6),2(5),1(8)|3,2(8),1(25)
BVDecompose|5,3(7),2(5),1(2)|5,3(6),2(5),1(5)|4,3(6),2(5),1(6)|2(11),1(16)
BVDecomposeSegCVSub|5,3(7),2(9),1(3)|4,3(7),2(7),1(8)|4,3(7),2(7),1(8)|2(14),1(19)
DatabaseUtils|8,5(3),4(3),3(6),2(5),1(19)|8,5(2),4(3),3(7),2(6),1(19)|5,4(2),3(9),2(10),1(22)|3(2),2(8),1(60)
Experiment|5(2),4(3),3(7),2(7),1(5)|5(2),4(2),3(8),2(6),1(8)|5,4(2),3(8),2(5),1(15)|2(10),1(42)
NearestNeighbourSearch|4(2),3(2),2,1(12)|4(2),3(2),2,1(12)|4(2),3(2),2,1(12)|2(4),1(20)
Node|8,4,3(12),1|8,4,3(12),1|6,4,3(11),2(2),1(2)|3,2(13),1(20)
RegOptimizer|8,5,4,3(2),2(4),1(10)|8,5,4,3(2),2(4),1(10)|6,4,3(2),2(7),1(11)|4,2(9),1(19)
ResultMatrix|15,8,7,5(2),4(4),3(18),2(7),1(40)|11,8,5(2),4(5),3(17),2(11),1(42)|8,5(3),4(2),3(20),2(12),1(49)|3(3),2(18),1(119)
Rule|11,4(3),3(6),2,1(4)|11,4(3),3(6),2,1(4)|6,4,3(8),2(4),1(5)|5,3,2(3),1(33)
Script|8,4,3(2),2(7),1(5)|8,4,3(2),2(7),1(5)|4,3(4),2(8),1(5)|2(6),1(25)
TestInstances|7,4(3),3(20),2(7),1(4)|7,4(3),3(20),2(7),1(4)|3(23),2(10),1(8)|2(24),1(49)
XMLDocument|7(2),4,3(2),2(5),1(23)|7(2),4,3(2),2(5),1(23)|7,5,3(2),2(7),1(25)|4,2(8),1(37)
